Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
690;Muzeum Wydzia≥u Nauk o Ziemi Uniwersytetu ålπskiego w Katowicach;41-200;Sosnowiec;Sosnowiec;m. Sosnowiec;åL•SKIE;ul.;BÍdziÒska;60;;;;;;;;Uniwersytet ålπski w Katowicach ;;;;;Utworzone przez osoby prawne
691;Muzeum Zamek w Rydzynie (w†organizacji);64-130;Rydzyna;Rydzyna;leszczyÒski;WIELKOPOLSKIE;pl.;Zamkowy;1;;;;;;;;Stowarzyszenie InøynierÛw i TechnikÛw MechanikÛw Polskich z siedzibπ w†Warszawie ;;;;;Utworzone przez osoby prawne
692;Muzeum-Zamek w Baranowie Sandomierskim;39-450;BaranÛw Sandomierski;BaranÛw Sandomierski;tarnobrzeski;PODKARPACKIE;ul.;Zamkowa;20;;;;;;;;Agencja Rozwoju Przemys≥u S.A. w†Warszawie;;;;;Utworzone przez osoby prawne
693;Muzeum Zamku w Chudowie;44-177;PaniÛwki;Giera≥towice;gliwicki;åL•SKIE;ul.;Podzamcze;6 (ChudÛw);;;;;;;;Fundacja ,,Zamek ChudÛwî;;;;;Utworzone przez osoby prawne
694;Muzeum-ZespÛ≥ Zamkowy w Niedzicy;34-441;Niedzica;Niedzica;nowotarski;MA£OPOLSKIE;ul.;Niedzica-Zamek;1;;;;;;;;Stowarzyszenie HistorykÛw Sztuki;;;;;Utworzone przez osoby prawne
695;Muzeum Ziem NadbuøaÒskich ñ ZespÛ≥ Pa≥acowy OssoliÒskich SterdyÒ  (w organizacji);08-320;SterdyÒ;SterdyÒ;soko≥owski;MAZOWIECKIE;ul.;Koúcielna;43;;;;;;;;Fundacja Patriotyzm i Niepodleg≥oúÊ Naszych Ziem ;;;;;Utworzone przez osoby prawne
696;Muzeum Øo≥nierzy WyklÍtych i WiÍüniÛw Politycznych PRL;02-521;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Rakowiecka;37a;;;;;;;;Muzeum dzia≥a w strukturze organizacyjnej Centralnego Zarzπdu S≥uøby WiÍziennej ;;;;;Utworzone przez osoby prawne
697;Muzeum Øywej Historii (w organizacji);72-010;Police;Police;policki;ZACHODNIO-POMORSKIE;ul.;Us≥ugowa;1a;;;;;;;;"Stowarzyszenie Historyczne ""549""";;;;;Utworzone przez osoby prawne
698;Oúrodek Dokumentacji i Historii Ziemi Ømigrodzkiej - Muzeum im. Leona KarciÒskiego w Nowym Ømigrodzie                                                                                                   (w organizacji);38-230;Nowy ØmigrÛd;Nowy ØmigrÛd;jasielski;PODKARPACKIE;ul.;Dukielska;1;;;;;;;;Towarzystwo Mi≥oúnikÛw Nowego Ømigrodu;;;;;Utworzone przez osoby prawne
699;Pa≥uckie Muzeum Techniki Wojskowej i†Uzbrojenia w Kowalewku;89-240;Kcynia Kowalewko;Kcynia;nakielski;KUJAWSKO-POMORSKIE;;;28;;;;;;;;Jednostka Ratownictwa Medycznego w†Kowalewku ;;;;;Utworzone przez osoby prawne
700;Pilskie Muzeum Wojskowe (w†organizacji);64-920;Pi≥a;Pi≥a;pilski;WIELKOPOLSKIE;ul.;Ludowa;60;7;;;;;;;Stowarzyszenie Przedmoúcie Pi≥a ;;;;;Utworzone przez osoby prawne
701;Podkarpackie Muzeum Konia imieniem BASK (w organizacji);37-122;Albigowa ;£aÒcut ;≥aÒcucki;PODKARPACKIE;;;300;;;;;;;;Fundacja BASK;;;;;Utworzone przez osoby prawne 
702;Podlaskie Muzeum MilitariÛw w Bia≥ymstoku (w organizacji);15-740;Bia≥ystok;Bia≥ystok;m. Bia≥ystok;PODLASKIE;ul.;Antoniukowska;11;;;;;;;;"Stowarzyszenie PasjonatÛw Historii Ziemi Podlaskiej oraz KolekcjonerÛw MilitariÛw ""Grupa WschÛd""";;;;;Utworzone przez osoby prawne
